host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,host_sinceyear,property_type_Hotel,room_type_Private room,price
10.0,43.7689,11.25547,4,1.0,0.0,0.0,40.0,2,5.0,13,22,22,196,169,46,95.0,1.89,2011.0,0,0,85.0
7.0,43.76731,11.24461,2,1.0,0.0,0.0,30.0,1,10.0,0,27,57,332,22,4,93.0,0.23,2010.0,0,0,59.0
2.0,43.76337,11.25871,2,2.0,1.0,100.0,10.0,1,0.0,7,29,59,250,305,15,93.0,3.34,2011.0,0,1,45.0
14.0,43.77142,11.25657,3,1.0,1.0,0.0,40.0,2,20.0,7,33,58,219,362,20,95.0,3.98,2011.0,0,0,55.0
22.0,43.77501,11.24559,4,1.0,1.0,150.0,35.0,4,0.0,0,0,0,205,2,0,100.0,0.02,2011.0,0,0,109.0
22.0,43.76878,11.26411,4,2.0,1.0,250.0,50.0,2,0.0,15,31,59,334,18,3,94.0,0.28,2010.0,0,0,90.0
36.0,43.77026,11.25499,6,2.0,2.0,0.0,60.0,1,0.0,2,30,60,240,66,3,89.0,0.72,2010.0,0,0,129.0
36.0,43.77106,11.25602,4,1.0,1.0,0.0,60.0,1,0.0,4,32,62,254,3,0,80.0,0.03,2010.0,0,0,105.0
36.0,43.76977,11.2541,4,1.0,1.0,0.0,60.0,1,0.0,7,33,63,241,3,0,100.0,0.04,2010.0,0,0,160.0
1.0,43.76788,11.26425,4,1.0,1.0,0.0,20.0,2,10.0,9,30,60,240,14,6,95.0,0.16,2012.0,0,0,74.0
2.0,43.77427,11.24384,4,1.0,1.0,88.0,45.0,2,28.0,8,38,68,343,8,1,89.0,0.09,2012.0,0,0,110.0
3.0,43.79254,11.29145,3,1.0,1.0,0.0,0.0,2,30.0,0,9,39,220,100,19,99.0,1.17,2012.0,0,0,75.0
10.0,43.7747,11.25163,2,1.0,1.0,150.0,0.0,2,30.0,30,60,90,362,17,3,89.0,0.21,2010.0,0,0,115.0
2.0,43.76538,11.25617,2,1.0,1.0,150.0,40.0,1,0.0,0,0,0,235,163,9,96.0,2.25,2009.0,0,0,80.0
3.0,43.77053,11.25366,4,2.0,1.0,0.0,35.0,2,15.0,3,24,53,319,567,79,80.0,6.11,2012.0,0,1,30.0
69.0,43.75139,11.24361,5,1.0,2.0,200.0,50.0,2,15.0,11,41,71,329,202,8,92.0,2.24,2012.0,0,0,55.0
6.0,43.76661,11.25147,4,1.0,1.0,0.0,32.0,2,10.0,1,5,5,26,264,12,96.0,2.92,2012.0,0,0,70.0
4.0,43.77263,11.24748,3,1.0,1.0,0.0,10.0,2,15.0,1,1,1,114,166,0,83.0,1.8,2012.0,0,1,33.0
6.0,43.76977,11.2521,4,1.5,2.0,150.0,80.0,2,10.0,0,0,0,21,101,8,95.0,1.16,2012.0,0,0,150.0
6.0,43.76677,11.25152,4,1.0,2.0,250.0,70.0,2,20.0,1,7,33,229,88,8,99.0,0.98,2012.0,0,0,150.0
1.0,43.76872,11.26366,4,1.5,2.0,0.0,39.0,2,15.0,16,32,48,57,225,15,98.0,2.45,2012.0,0,0,98.0
8.0,43.77481,11.26179,4,1.0,1.0,0.0,35.0,2,25.0,2,20,50,257,312,71,99.0,3.56,2012.0,0,0,110.0
4.0,43.77225,11.31925,4,1.0,2.0,0.0,37.0,1,0.0,14,43,73,286,9,7,95.0,0.3,2012.0,0,0,155.0
4.0,43.77176,11.31935,4,1.0,1.0,0.0,37.0,1,0.0,20,30,34,211,15,9,97.0,0.39,2012.0,0,0,100.0
4.0,43.7724,11.31899,4,1.0,1.0,0.0,37.0,1,0.0,16,21,29,242,16,6,96.0,0.31,2012.0,0,0,100.0
